Term,Expanded_Terms_Frequency
acute renal failure,99
hypertension,99
atrial fibrillation,86
anemia,75
coronary artery disease,65
hypotension,59
altered mental status,50
respiratory failure,39
chronic obstructive pulmonary disease,35
thrombocytopenia,33
diabetes mellitus,33
leukocytosis,32
pneumonia,31
sepsis,30
acute on chronic renal failure,25
hypoxia,25
hypertension:,21
hypoxic respiratory failure,21
diabetes mellitus type 2,20
diabetes,20
congestive heart failure,20
end-stage renal disease,20
gastrointestinal bleed,19
hyperlipidemia,19
hyperkalemia,16
renal failure,16
human immunodeficiency virus,16
hypothyroidism,15
respiratory distress,14
hypernatremia,14
tachycardia,13
hyponatremia,13
pulmonary embolism,12
gastrointestinal bleeding,12
cirrhosis,12
transaminitis,11
atrial fibrillation with rapid ventricular rate,11
chest pain,11
peripheral vascular disease,11
fever,10
pancytopenia,10
hematemesis,10
seizure,10
end-stage renal disease on hemodialysis,10
diabetic ketoacidosis,10
pain,10
hypotension:,9
non-small cell lung cancer,9
dyspnea,9
upper gastrointestinal bleeding,9
coagulopathy,9
ethanol withdrawal,9
septic shock,9
delirium,8
non-st elevation myocardial infarction,8
aspiration pneumonia,8
metabolic acidosis,8
hypercarbic respiratory failure,8
urinary tract infection,8
diastolic congestive heart failure,8
seizure disorder,8
hypertensive urgency,8
obstructive sleep apnea,7
fever:,7
diastolic heart failure,7
hypoglycemia,7
fevers,7
pancreatitis,7
aortic stenosis,7
acute respiratory distress syndrome,7
# coronary artery disease,6
abdominal pain,6
type 2 diabetes mellitus,6
depression,6
end-stage liver disease,6
hypothermia,6
atrial fibrillation:,6
ethanol abuse,6
hyperlipidemia:,6
altered mental status:,6
pleural effusion,6
dementia,6
pericardial effusion,6
atrial fibrillation with rapid ventricular response,6
asthma,6
cholangitis,5
acute on chronic systolic heart failure,5
hypoxemic respiratory failure,5
# acute renal failure,5
respiratory failure:,5
syncope,5
hepatic encephalopathy,5
cardiomyopathy,5
chronic renal failure,5
cellulitis,5
alcohol abuse,5
acute renal failure:,5
acute myeloid leukemia,5
bipolar disorder,5
hypoxia:,5
diabetes mellitus:,5
hypoxemia,5
sinus tachycardia,5
# hypertension,5
chronic systolic congestive heart failure,5
gastroesophageal reflux disease,5
chronic kidney disease,5
atrial flutter,5
# acute renal failure:,5
history of cerebrovascular accident,5
subdural hematoma,5
lymphoma,5
ventilator-associated pneumonia,5
anemia:,4
thrombocytopenia:,4
coronary artery disease status post coronary artery bypass grafting,4
chronic lymphocytic leukemia,4
coronary artery disease:,4
dyslipidemia,4
bacteremia,4
acute on chronic systolic congestive heart failure,4
human immunodeficiency virus/acquired immunodeficiency syndrome,4
alcohol withdrawal:,4
st-elevation myocardial infarction,4
pulmonary hypertension,4
chronic renal insufficiency,4
leukocytosis:,4
ventricular tachycardia,4
hyponatremia:,4
# respiratory failure,4
benign prostatic hyperplasia,4
myelodysplastic syndrome,4
systemic lupus erythematosus,4
"renal failure, acute (acute renal failure, acute renal failure)",4
shock,4
volume overload,4
diarrhea,4
lower gastrointestinal bleed,3
demand ischemia,3
spontaneous bacterial peritonitis,3
bleeding,3
heart failure,3
type ii diabetes,3
type 2 diabetes,3
paroxysmal atrial fibrillation,3
bronchiectasis,3
critical aortic stenosis,3
transaminitis:,3
anion gap acidosis,3
# hypotension,3
chronic atrial fibrillation,3
chronic diastolic congestive heart failure,3
respiratory failure.,3
acute blood loss anemia,3
hemoptysis,3
# coronary artery disease:,3
hypercholesterolemia,3
history of breast cancer,3
agitation,3
alcoholism,3
headache,3
# thrombocytopenia,3
hepatitis c cirrhosis,3
elevated troponin,3
st-elevation myocardial infarction:,3
# altered mental status,3
hypotension (not shock),3
chronic back pain,3
adrenal insufficiency,3
seizures,3
diabetic ketoacidosis:,3
nausea/vomiting,3
anxiety:,3
pancreatic cancer,3
non-st-elevation myocardial infarction,3
stroke,3
acute respiratory failure,3
ileus,3
esophageal cancer,3
small cell lung cancer,3
cardiogenic shock,3
febrile neutropenia,3
small bowel obstruction,3
chronic obstructive pulmonary disease exacerbation,3
breast cancer,3
clostridioides difficile,3
# hypoxia:,2
oliguria,2
# acute on chronic renal failure,2
#. hypertension,2
gram-negative rod bacteremia,2
# ethanol abuse,2
left lower extremity deep vein thrombosis,2
acute hepatitis,2
squamous cell lung carcinoma,2
. anemia:,2
hypotension.,2
peptic ulcer disease,2
retroperitoneal bleed,2
diabetes mellitus type ii,2
) atrial fibrillation,2
hypoxemic respiratory failure:,2
seizure:,2
chronic respiratory failure,2
rhabdomyolysis,2
history of hypertension,2
anion gap metabolic acidosis,2
ethanol,2
complete heart block,2
number anemia,2
coagulopathy:,2
pulseless electrical activity arrest,2
# chest pain,2
#. coronary artery disease,2
fevers:,2
acute renal failure on chronic kidney disease,2
# respiratory distress,2
anxiety/depression,2
severe mitral regurgitation,2
asthma:,2
urinary retention,2
hypoxia/hypercarbia,2
atrial fibrillation/flutter,2
non-sustained ventricular tachycardia,2
disseminated intravascular coagulation,2
pulmonary fibrosis,2
hypertensive emergency,2
cerebrovascular accident,2
"altered mental status, unresponsiveness",2
ischemic cardiomyopathy,2
# status post pulseless electrical activity arrest,2
hypercarbic respiratory failure:,2
hepatitis c virus,2
upper gastrointestinal bleed,2
nausea/vomiting/diarrhea,2
multivessel coronary artery disease,2
# anemia,2
acute on chronic hypercarbic respiratory failure,2
t cell lymphoma,2
acute on chronic renal insufficiency,2
renal failure:,2
chronic pain,2
number hypertension,2
acute hypoxemic respiratory failure,2
pulmonary edema,2
diabetes:,2
elevated lactate,2
respiratory distress:,2
ventricular fibrillation arrest,2
acute respiratory distress,2
acute diastolic heart failure,2
angioedema,2
# hyperkalemia,2
decompensated congestive heart failure,2
# diabetes mellitus,2
bradycardia,2
hip fracture,2
atrial fibrillation (atrial fibrillation),2
# ventricular tachycardia,2
schizophrenia,2
# leukocytosis:,2
dyspnea on exertion,2
. leukocytosis,2
endocarditis,2
thrombocytosis,2
mental status changes,2
coffee ground emesis,2
coronary artery disease status post myocardial infarction,2
# fevers,2
encephalopathy,2
atrial fibrillation/atrial flutter,2
history of pulmonary embolism,2
shortness of breath,2
metastatic breast cancer,2
sarcoidosis,2
history of coronary artery disease,2
elevated white blood cell count,2
aspiration,2
nausea,2
anion gap,2
# end-stage renal disease,2
aortic valve replacement,2
history of atrial fibrillation,2
# altered mental status:,2
coronary artery disease status post myocardial infarction.,2
gastrointestinal bleeding:,2
graft versus host disease,2
flank pain,2
gastrointestinal bleed:,2
bright red blood per rectum,2
# diarrhea,2
polysubstance abuse,2
urinary tract infection:,2
fall:,2
alcohol withdrawal,2
substance abuse,2
gout,2
hypertension.,2
prostate cancer,2
acute hematocrit drop,2
st elevation myocardial infarction,2
end-stage renal disease:,2
acute on chronic renal failure:,2
post-obstructive pneumonia,2
diabetes mellitus 2,2
lethargy,2
lung cancer,2
anoxic brain injury,2
metastatic melanoma,2
elevated international normalized ratio,2
toxic ingestion,2
acute systolic congestive heart failure,2
pleural effusions,2
right hemiparesis,2
history of deep vein thrombosis,2
supraventricular tachycardia,2
superior vena cava syndrome,2
ethanol intoxication,2
alcoholic hepatitis,2
chronic systolic heart failure,2
gallstone pancreatitis,2
multifocal pneumonia,2
hypothyroid,2
hypokalemia,2
subarachnoid hemorrhage,2
coronary artery disease/congestive heart failure,2
hospital-acquired pneumonia,2
heart failure (congestive heart failure),2
non-gap acidosis,1
history of eosinophilic lung disease,1
"deep venous thrombosis (deep venous thrombosis), lower extremity",1
"history of chronic obstructive pulmonary disease (chronic obstructive pulmonary disease, bronchitis, emphysema) with acute exacerbation",1
"heart failure (congestive heart failure), diastolic, chronic",1
"altered/depressed mental status thought to be [**1-25**] to ativan yesterday,",1
supertherapeutic international normalized ratio,1
"atrial fibrillation, now rate controlled - likely worsened by underlying sepsis",1
status post biventricular placement [**8-31**].,1
# bradycardia / rhythm,1
#. chronic kidney disease stage v on hemodialysis,1
. peripheral vascular disease,1
number rash:,1
pancytopenia:,1
lymphoplasmocytic lymphoma:,1
shortness of breath: most likely explanation currently is aspiration,1
third degree heart block,1
# fevers:,1
likely lymphoma,1
leukopenia,1
# abdominal pain:,1
anemia and thrombocytopenia,1
# alcoholic cirrhosis:,1
"shock- likely hypovolemic from gastrointestinal bleed, but may have septic
   component as well given urinary tract infection,",1
gastrointestinal bleed bleed,1
possible sepsis- ? urosepsis,1
fracture hypertension,1
complete heart block:,1
influenza like illness:,1
"hypothermia: could be secondary to infection, adrenal
   insufficiency, hypothyroidism",1
multiple sclerosis,1
coffee grounds per nasogastric tube,1
drug overdose,1
acute on chronic systolic and diastolic heart failure:,1
hepatitis c virus cirrhosis/end-stage renal disease,1
human immunodeficiency virus.,1
myopathy.,1
status post total thyroidectomy,1
likely urinary tract infection sepsis.,1
acute renal failure: likely acute tubular necrosis in the setting of hypotension,1
acute on chronic respiratory failure,1
respiratory failure-hypoxia and hypercarbia,1
pulmonary hypertension:,1
"fever: given fevers, hypotension and recent infection most concerning etiology is sepsis.  chest x-ray stable but with report of pneumonia on past admission most likely source.",1
acute decompensated diastolic heart failure,1
"pulmonary infectious processes such as bacterial pneumonia,
   (especially with encapsulated organisms like streptococcus pneumoniae) pneumocystis pneumonia
   or influenza are highly likely,",1
ventricular tachycardia/ventricular fibrillation,1
human immunodeficiency virus/acquired immunodeficiency syndrome:,1
intubation/respiratory failure,1
acute ethyl alcohol pancreatitis,1
dyspnea/hypoxia,1
chest discomfort,1
# septic shock:,1
#. lethargy:,1
"diabetes mellitus, type ii",1
hyponatremia: likely hypovolemic hyponatremia,1
number hypotension:,1
cirrhosis with hepatocellular carcinoma,1
clostridioides difficile.,1
metabolic acidosis.,1
hyponatremia.,1
elevated troponins,1
newly worsened mitral regurgitation,1
"hypotension: acutely hypotensive, concern was for ischemia/infarction versus oversedation",1
respiratory distress: repeat chest x-ray showed stable left lower opacity. also congestive heart failure,1
dyspnea/left lower lobe collapse,1
hypoxia: differential includes worsening pneumonia,1
"hypotension: baseline blood pressures are 130s-140s and patient was
   hypertensive at rehabilitation.  concern is for septic shock versus cardiogenic
   shock",1
history of pancreatitis:,1
fevers/leukocytosis - most likely secondary to pneumonia,1
status post right radical nephrectomy and removal of large renal mass,1
continued intubation/respiratory failure,1
known ascending aortic dissection status post st jude's valve,1
# dyspnea:,1
lower extremity edema:,1
coronary artery disease status post aortic valve replacement-,1
. diabetes mellitus:,1
hypoxemia and hypotension,1
# lower extremity swelling,1
coronary artery disease status post st-elevation myocardial infarction 2,1
history of deep vein thrombosis/pulmonary embolism status post inferior vena cava filter,1
leukocytosis/fever,1
atrial fibrillation with rapid ventricular rate:,1
hypercarbic/hypoxic respiratory failure,1
hypoglycemia/type ii diabetes mellitus,1
right breast mass and skin changes,1
delirium on dementia/depression/anxiety,1
influenza like illness,1
two vessel coronary artery bypass grafting,1
1)ulcerative colitis,1
)leukocytosis:,1
5)primary biliary cirrhosis,1
#  abdominal pain/surgical abdomen: most likely [**12-21**] crohn's flare,1
sinus tachycardia: in the setting of intravascular depletion,1
cloudy urine: in setting of intravascular depletion,1
# overdose / altered mental status,1
# acute renal failure on chronic kidney disease,1
"# hyperkalemia:  likely was due to acute renal failure,",1
pneumoperitoneum,1
acute blood loss anemia due to upper gastrointestinal bleed,1
pelvic hematoma,1
percutaneous venous isolation for atrial fibrillation,1
hypervolemic,1
possible urinary tract infection,1
recent deep vein thrombosis/likely pulmonary embolism,1
acute kidney injury/ oliguria,1
left subdural hematoma,1
"history of gastroesophageal reflux disease, peptic ulcer disease",1
#. ethanol withdrawal,1
#. abdominal pain,1
. hematemesis/melena,1
. anion gap metabolic acidosis,1
. respiratory alkalosis:,1
congestive heart failure.,1
cirrhosis:  due to ethanol,1
cirrhosis:,1
) hypertension,1
diabetes mellitus ii,1
bone mineral density,1
bilateral hip fracture: status post fixation on,1
biliary sepsis,1
stage four chronic kidney disease,1
ventral hernia complicated by small bowel obstruction,1
"history of chronic renal insufficiency,",1
gastrointestinal bleeding/hypotension:,1
decompensated congestive heart failure/hypertension:,1
chest pain/coronaries: now status post catheterization which revealed three vessel disease,1
"ventricular tachycardia lasting 3 minutes.  ventricular tachycardia likely
   reactive to ongoing ischemia.",1
# depression,1
"st-elevation myocardial infarction,",1
"hypotension - likely secondary to sepsis, although source unknown at
   this time",1
coagulopathy/thrombocytopenia,1
fever/rash/joint pains,1
hypotension: appearance is most consistent with a septic,1
malignancy - presumptive pancreatic cancer,1
"gastrointestinal bleed, other (gastrointestinal bleed, gastrointestinal bleed)",1
cirrhosis/liver failure,1
. anemia,1
ascites,1
hypoalbuminemia,1
# metastatic breast cancer:,1
"hypoxia:  resolving.  differential diagnosis includes infection, hypervolemia, congestive heart failure
   exacerbation.",1
hypotension: likely systemic inflammatory response syndrome physiology with urinary tract infection,1
lupus:,1
# leukocytosis,1
episodes of atrial fibrillation and supraventricular tachycardia,1
unstable angina,1
elevated end left ventricular pressure (44 millimeters of mercury) and pulmonary edema,1
normal sinus rhythm,1
pancreatitis:,1
# leukocytosis: likely [**2-24**] urinary tract infection.,1
# gastrointestinal bleed: n,1
"patient noted to be hypotensive in emergency department, with systolic blood pressure 89 on arrival.",1
#. line infection,1
"#. septic pulmonary emboli - patient also presents with respiratory complaints including right-sided chest pain, dyspnea on exertion, and cough",1
status post thoracotomy,1
history of gastroesophageal reflux disease.,1
history of diabetes mellitus,1
"hypotension, transient",1
leg pains,1
recent balloon mitral valvuloplasty to right coronary artery,1
respiratory distress/chronic obstructive pulmonary disease,1
# delirium,1
hypoxic respiratory distress,1
hiatal hernia,1
shoulder pain,1
coronary artery disease status post inferior myocardial infarction,1
gastritis/gastroesophageal reflux disease:  likely related to large hiatal hernia.,1
witnessed apneas,1
pain in hands and feet:,1
chronic abdominal pain:,1
hepatitis b and hepatitis c,1
status post arrest:,1
infection,1
inflammation of the inner lining of the heart,1
"sepsis, severe (with organ dysfunction)
   : worsening acidosis with rising lactate. most likely source is liver.",1
coronary artery disease with chronic systolic congestive heart failure,1
left ureteral stones,1
pyelonephritis/peri-urosepsis,1
"severe sepsis - bands up to 32 this morning with signs of developing
   disseminated intravascular coagulation, unclear [**name2 (ni) 10137**] although most likely seems to be gastrointestinal",1
#developing disseminated intravascular coagulation,1
aphasia/right sided weakness:,1
"known history of
   coronary artery disease,",1
atrial fibrillation.,1
wide complex tachycardia,1
subcutaneous emphysema/mediastinitis,1
hyperthyroidism,1
right groin bleeding,1
number right chest/back hematoma,1
lead fracture/heart block,1
"chronic systolic heartfailure without acute exacerbation/dilated
   ischemic cardiomyopathy: c",1
implantable cardioverter defibrillator status post ablation for ventricular arrhythmia,1
# systolic heart failure,1
# fever/bacteremia:,1
septic arthritis / gout,1
# acute renal failure: likely pre-renal,1
atrial fibrillation with rapid ventricular,1
colon cancer:,1
fever/chills/malaise/chest pain.,1
# unstable angina,1
systolic blood pressure > 160,1
"diabetes mellitus i,",1
nausea and vomiting,1
stage iv pancreatic cancer,1
recent thrush,1
constipation,1
hypoglycemia/diabetes mellitus,1
coronary artery disease status post recent coronary artery bypass grafting:,1
bilateral pneumonia,1
"arrest
   likely secondary to hypoxia from narcotics",1
# respiratory failure: with hypoxia,1
# atrial fibrillation,1
# diabetes mellitus type 2:,1
.  hyperglycemia.,1
acute hypercarbic respiratory failure,1
fluid overload,1
number respiratory failure:,1
number spine fracture:,1
obtundation.,1
tracheal/esophageal perforation versus allergic reaction,1
hepatitis c virus cirrhosis and ascites,1
hypovolemic hypotension,1
hemothorax,1
fracture hypoxia,1
hepatitis c,1
"sepsis - the patient meets systemic inflammatory response syndrome criteria with tachycardia, leukocytosis and hypotension. likely source is left dorsal foot wound",1
number left foot ulceration,1
severe 3 vessel disease,1
congestive heart failure with ejection fraction,1
number diabetes mellitus ii,1
coronary artery disease status post inferior st-elevation myocardial infarction,1
"sepsis - on admission meets sepsis/systemic inflammatory response syndrome criteria with differential for infection being pulmonary, urinary tract infection, hepato-biliary, gastroenteritis, influenza.  likely pneumonia or hepatitis,",1
metastatic esophageal adenocarcinoma,1
right-sided pleuritic chest pain,1
chronic kidney injury,1
acute heart failure,1
hypercalcemia,1
non-small cell carcinoma,1
# cough/chest congestion:,1
# hypertension: hypertensive urgency,1
possible sepsis-source suspected pulmonary.,1
hyperglycemia,1
left ventricular ejection fraction<55% with left ventricular hypertrophy and decompensated congestive heart failure,1
number diabetes mellitus 2:,1
urinary tract infection/urosepsis,1
emesis with fever,1
elevated creatine kinase,1
peripheral vascular disease/carotid stent:,1
fever/respiratory syncytial virus,1
graft-versus-host disease,1
history atrial fibrillation,1
cholangitis:,1
"decompensated congestive heart failure, acute on chronic versus infection",1
episode of prolonged pause,1
non-st-elevation myocardial infarction:,1
# pericarditis/ tamponade,1
acute exacerbation of her diastolic heart failure,1
# history of venous thromboembolic disease,1
# sepsis from left lower lobe pneumonia-,1
# hemochromatosis:,1
duodenal ulcer,1
"# ingestion

1. pt c/o abd pain.
2. hx of gerd.
3. rx: omeprazole 20 mg qd.
4. npo after midnight.
5. labs: cbc, cmp.
6. f/u in 2 weeks.",1
"septic shock/ fever: unclear source. top differentials include
   recurrent clostridioides difficile, ischemic bowel sounds, pneumonia, endocarditis",1
change in mental status,1
congestive heart failure (ejection fraction of 45%),1
"meningitis (especially
   pneumococcal)",1
septic shock/hypotension:,1
peripheral vascular disease status post transmetatarsal amputation debridement:,1
hematochezia/anemia of acute blood loss,1
angina/non-st-elevation myocardial infarction,1
dyspnea/tachypnea,1
coronary artery disease status post coronary artery bypass grafting with diseased grafts,1
gastroparesis,1
diabetes mellitus type 1,1
lithium toxicity:,1
alcohol use,1
"history of atrial fibrillation status post ablation,",1
shock/pulseless electrical activity arrest:,1
gram negative bacteremia,1
mental status,1
resolved renal failure:,1
hypoxia:  secondary to very large mucus plugs,1
number altered mental status,1
recurrent deep vein thromboses,1
recurrent subdural hematoma:,1
seizures/altered mental status,1
hypoxia/pneumonia,1
number bradycardia:,1
myelodysplastic syndrome:,1
"bilateral pleural effusion/right lower lobe opacity - likely transudative effusions in
   the setting of decompensated congestive heart failure,",1
st depressions,1
melanoma status post parotidectomy and node dissection,1
pump/chronic diastolic heart failure,1
"normal sinus rhythm with occasional
   tachycardia",1
change in mental status/agitation,1
fever and leukocytosis,1
staphylococcus aureus bacteremia,1
acute bacterial cystitis,1
# hemodynamics status post pulseless electrical activity arrest:,1
# saddle pulmonary emboli,1
# acute respiratory failure,1
# acute renal failure: acute tubular necrosis secondary to hypotensive event,1
# shock liver: secondary to hypoperfusion,1
troponin bump: likely secondary to demand ischemia,1
hypoglycemia:,1
"hypotension: could be secondary to early sepsis etiology,",1
mild pulmonary edema,1
aortic valve replacement with severe stenosis,1
pulmonary fibrosis/hypoxia,1
acute on chronic hypercapneic respiratory acidosis,1
history of asthma,1
history of recurrent deep vein thrombosis,1
# upper gastrointestinal bleed,1
# liver cirrhosis:,1
# shortness of breath,1
# thrombocytopenia:,1
# sepsis:  presumed source is clostridium difficile infection,1
# acute renal failure:  possibly secondary to acute tubular necrosis given sepsis,1
# metabolic acidosis:  secondary to diabetic ketoacidosis versus sepsis versus acute renal failure.,1
# diabetes mellitus type i:,1
# eosinophilia:,1
restless leg syndrome,1
"res failure
   differential diagnosis: lung collapse with hilar mass, post obstructive pneumonia, non obstructive
   infection including tuberculosis, pseudomonas, methicillin-resistant staphylococcus aureus, acute respiratory distress syndrome.",1
"shock
   likely sepsis, from post pneumonia",1
# bilateral pneumothorax: unclear etiology for new onset bilateral pneumothorax,1
chest pain: dyspnea and chest pain likely secondary to pneumothorax,1
# cirrhosis: [**3-15**] hepatitis c acquired,1
#  hypoxic respiratory failure,1
#  pulmonary hypertension/right heart failure:,1
# diabetes mellitus type two:,1
hyperglycemia/metabolic acidosis,1
"septic shock: significant leukocytosis. fever. bilateral pneumonia,
   urinary tract infection.",1
cardiogenic shock/ non-st elevation myocardial infarction/ known coronary artery disease,1
sepsis: cholangitis versus urosepsis are most likely sources.,1
. seizure disorder:,1
meningioma,1
. altered mental status,1
pulmonary embolism.,1
tachycardia/palpitations,1
# gastrointestinal bleeding:,1
hypercarbic and hypoxic respiratory distress,1
acute respiratory acidosis,1
c1/c2 meningioma,1
history of atrial fibrillation and hypertension,1
pulmonary: difficult intubation secondary to cervical compression.remains,1
right foot ulcer,1
"sepsis/hypotension:  meets systemic inflammatory response syndrome criteria with fever, leuckocytosis
   (particularly in setting of chemotherapy) and lungs as likely infectious
   source.",1
abdominal pain (including abdominal tenderness),1
"renal failure, end stage (end stage renal disease, end stage renal disease).",1
diabetes mellitus.,1
coronary artery disease status post st-elevation myocardial infarction.,1
oliguric renal failure,1
"patient status post lysis of adhesions, proctocolectomy with
   ileoanal anastamosis",1
diabetic foot ulcer,1
peripheral neuropathy,1
1.  hematuria.,1
2.  hypoxia.,1
".  anemia.
   likely secondary to chronic disease and hematuria",1
sepsis: patient's blood and urine from [**hospital1 **] [**location (un) 250**] came back today for gram negative cocci.,1
tachycardia/supraventricular tachycardia,1
"congestive heart failure,",1
possible chronic obstructive pulmonary disease,1
"acidosis, metabolic (gap)",1
"acute on chronic renal failure, chronic kidney disease stage five",1
increased ostomy output,1
confusion/altered mental status,1
lymphadenopathy,1
tumor lysis syndrome,1
pulmonary tuberculosis,1
human immunodeficiency virus:,1
number atrial fibrillation,1
new respiratory failure: originally acute respiratory distress syndrome/sepsis combined with fluid overload and possible bacterial pneumonia.,1
#fevers/leukocytosis:,1
tachycardia:,1
rash,1
abdominal distension,1
right lower extremity dry gangrene,1
rectus sheath hematoma,1
cardiomyopathy [**3-12**] prior arrest:,1
number withdrawal/pain/delirium,1
number hypoxemia: likely secondary to hospital acquired pneumonia,1
status post explant,1
# anemia:,1
# status post fall:,1
"seizure disorder combined
   with subdural hematoma",1
history of end-stage renal disease,1
history of hypercoagulability,1
"sepsis, severe (with organ dysfunction):",1
aspiration pneumonia with respiratory failure,1
coagulopathy: most consistent with disseminated intravascular coagulation,1
"cancer (malignant neoplasm), pancreas",1
hypoxia / unresponsiveness,1
shortness of breath and cough: most likely pneumonia,1
number hypotension,1
# alkalemic respiratory failure,1
) hypercarbic respiratory failure,1
# psychological issues/ bipolar / borderline personality disorder:,1
"syncope:  secondary to atrioventricular block versus seizures with increased vagal
   tone",1
#hematemasis,1
#pancreatitis,1
"#cirrhosis, portal hypertension, ascites, pancytopenia, coagulopathy",1
#ethanol abuse,1
possible food impaction,1
"c6 posterior ligamentous
   injury,",1
t7 acute compression fracture,1
multiple facial fractures:,1
facial trauma,1
syncope/fall,1
"respiratory failure
 intubated in setting of altered mental status. [**name13 (stitle) **] acute pulmonary
   issue",1
dyspnea:,1
status post caesarean delivery [,1
.  altered mental status.,1
. alcoholic cirrhosis,1
exfoliative dermatitis.,1
"hypotension
   -          secondary to blood loss in setting hematemesis",1
"leukocytosis
   -          likely stress response",1
alzheimer's dementia,1
diabetes mellitus type 2:,1
tachycardia: likely [**2-6**] multifactorial-,1
congestive heart failure/volume overload:,1
coronary artery disease status post coronary artery bypass grafting:,1
stroke with aphasia,1
"cerebrovascular accident, including a large cerebellar infarction.",1
apnea,1
neuro status,1
# pericardial effusion:,1
# pleural effusions:,1
esophageal cancer - patient status post chemotherapy-radiation therapy and esophagectomy.,1
# dyslipidemia -,1
acute on chronic kidney injury,1
hypotension/sepsis: currently under treatment for pneumonia with untyped gram-negative rods in sputum,1
acidosis,1
tongue twitching,1
chronic pancreatitis:,1
ethanol cirrhosis: e,1
history of ethanol abuse,1
persistent hypotension possibly due to sepsis,1
stool ball and impaction,1
skin ulceration,1
hypotension/syncope,1
transient elevation of liver enzymes,1
hypotension/tachycardia,1
mitral stenosis:,1
pump,1
weight loss:,1
number history b-cell lymphoma:,1
multiple allergies:,1
hypoglycemia / diabetes mellitus,1
# sepsis,1
# chronic systolic congestive heart failure,1
# diabetes mellitus:,1
"hypotension:  most likely related to unstable rhythm of atrial
   fibrillation with rapid ventricular response",1
"history of atrial fibrillation,",1
history of coronary artery disease status post 5 vessel coronary artery bypass grafting,1
hyperkalemia:,1
"infection, cellulitis",1
hypotension/fever,1
"sinus tachycardia:  unclear cause, likely multifactorial from pain,
   sepsis, beta blocker withdrawal",1
chronic osteomyelitis,1
history left lower extremity deep vein thrombosis ([**12-20**]): found after presenting with left lower extremity swelling,1
mechanical valve:,1
altered mental status/somnolence,1
respiratory distress/pneumonia,1
urinary tract infection: + urinalysis,1
left lobectomy of liver for cystic mass,1
sepsis/altered mental status,1
# fever/leukocytosis,1
altered [**month/year (2) 7446**] status:,1
#hyperglycemia,1
#cough/shortness of breath,1
hepatitis c:,1
leukocytosis/clostridioides difficile positive:,1
concern for sepsis,1
myasthenia,1
status post colostomy takedown,1
mast cell degranulation,1
#asthma exacerbation,1
pneumonia / increased white blood cell count and fevers,1
